reviews,clusters,tags
"I frequent this Starbucks. It's busier than a lot of other locations I've been to, but it's a nice place to meet up with people. I've never had an issue with any of my drinks or anything.",Coffee,positive
Great coffee they always have new flavors or mixes to try especially dashes,Coffee,positive
Fast and reliable. Always a great experience.,Service,positive
"Very friendly, lady at the window definatly made my experience a good one!!",Service,positive
It's expensive but I love Starbucks.,Coffee,positive
Highly disappointed. They smoke cigarettes outside the door and the employees have bad attitudes,Place,negative
Highly disappointed. They smoke cigarettes outside the door and the employees have bad attitudes,Service,negative
"Typically acceptable food. They forgot my coffee and I had to remind them after I had everything else, but not a big deal as they fixed it immediately. They had young adults waiting on orders that were completely blocking the exit and none had masks on.",Food,neutral
"Typically acceptable food. They forgot my coffee and I had to remind them after I had everything else, but not a big deal as they fixed it immediately. They had young adults waiting on orders that were completely blocking the exit and none had masks on.",Coffee,neutral
"Typically acceptable food. They forgot my coffee and I had to remind them after I had everything else, but not a big deal as they fixed it immediately. They had young adults waiting on orders that were completely blocking the exit and none had masks on.",Place,negative
Great service!,Service,positive
This drive through only store has the best customer service and are very personable.  Only Starbucks I visit pretty much daily 💯,Service,positive
"Fast, friendly staff. Always pleasant place to visit!",Service,positive
"Fast, friendly staff. Always pleasant place to visit!",Place,positive
"All Starbucks are pretty much the same. Friendly staff, and there's never been anything that has 'run out' while I was there.",Service,positive
This particular location is either good or infuriatingly slow & less than friendly.,Service,negative
Great  coffee,Coffee,positive
Coffee is good,Coffee,positive
"Nice servers but the coffee was old both times I been there. Not just old, but late night gas station old! This location is not as good as others I've been to.",Service,positive
"Nice servers but the coffee was old both times I been there. Not just old, but late night gas station old! This location is not as good as others I've been to.",Coffee,negative
"Love this location. The employees go the extra mile to help get my coffee  the way that I want and the way that I ordered it, even if there is line.",Service,positive
"Friendly staff, always helpful and the drive thru line moves quick",Service,positive
Always the best FRAPPACHINO and the employees are such BEAUTIFUL people and great customer service,Coffee,positive
Always the best FRAPPACHINO and the employees are such BEAUTIFUL people and great customer service,Service,positive
Perfect!  Put A Smile Back On My Face YUM!!!  Very Friendly Staff!,Service,positive
Perfect!  Put A Smile Back On My Face YUM!!!  Very Friendly Staff!,Food,positive
Great service,Service,positive
Pretty standard Starbucks,Coffee,neutral
Norwich CT,Place,neutral
friendly and skilled staff,Service,positive
"Friendly staff. Quick and efficient, even with the amount of people that were both in drive-thru and store lobby. Store was clean and exterior seating looked fairly well kept for the area's unpredictable weather.",Service,positive
"Friendly staff. Quick and efficient, even with the amount of people that were both in drive-thru and store lobby. Store was clean and exterior seating looked fairly well kept for the area's unpredictable weather.",Place,positive
Cashier was warm and friendly when taking my order. The order was correctly fulfilled quickly. The store was clean and orderly.,Service,positive
Cashier was warm and friendly when taking my order. The order was correctly fulfilled quickly. The store was clean and orderly.,Place,positive
Friendly staff and yummy drinks.,Service,positive
Friendly staff and yummy drinks.,Coffee,positive
"Clean restrooms, attentive service, easy access back onto the highway",Place,positive
"Clean restrooms, attentive service, easy access back onto the highway",Service,positive
"Great for that morning jolt ,and ton of calories",Coffee,positive
I have worked at a Starbucks before and the first thing they always teach you is to be super friendly and attentive to what the customer wants. Came in with my boyfriend and he told her to scan Starbucks rewards on his phone she proceeds and says “ for what??” With attitude. We had a reward on the app she then said we couldn’t redeem it and continue to take our order as if she hated her job. Utterly bad customer service. Trash of an employee. We always come in and a sweet older lady helps us but this barista was younger and rude. Get her fired.,Service,negative
Starbucks in a Safeway.,Place,neutral
Always too cold! Plus prices are very high compared to other coffeeshops in the area. Disappointing.,Coffee,negative
Always too cold! Plus prices are very high compared to other coffeeshops in the area. Disappointing.,Place,negative
Always consistant and clean,Place,positive
The coffee is still the best.. But there New reward system....is bad now....they lost my consistency.,Coffee,positive
The coffee is still the best.. But there New reward system....is bad now....they lost my consistency.,Service,negative
One of our favorite hangouts!,Place,positive
Nice place to meet.,Place,positive
Good drinks not a great value.,Coffee,neutral
Conveniently located inside Kroger so easy to get some coffee and shop. Service could be improved.,Place,positive
Conveniently located inside Kroger so easy to get some coffee and shop. Service could be improved.,Service,neutral
Coffee,Coffee,neutral
"Ordered a Latte... watched the ""barista"" pour milk in dark roast drip coffee and call it a latte. Convenient location but hit and miss service.",Place,positive
"Ordered a Latte... watched the ""barista"" pour milk in dark roast drip coffee and call it a latte. Convenient location but hit and miss service.",Coffee,negative
"Ordered a Latte... watched the ""barista"" pour milk in dark roast drip coffee and call it a latte. Convenient location but hit and miss service.",Service,negative
Pumpkin this year is AWFUL...tastes like there is way too much pumpkin spice seasoning and the balance of the spices is off too! The wait is incredibly long! Decent drinks but not organized to get the drive thru moving. Hope things get better soon!,Coffee,negative
Pumpkin this year is AWFUL...tastes like there is way too much pumpkin spice seasoning and the balance of the spices is off too! The wait is incredibly long! Decent drinks but not organized to get the drive thru moving. Hope things get better soon!,Time,negative
"A Starbucks is a Starbucks...what else you can you expect? If this is the one at Estes Park, background music was too loud and distasteful for my preference. I guess it has to do with the local staff.",Place,neutral
"A Starbucks is a Starbucks...what else you can you expect? If this is the one at Estes Park, background music was too loud and distasteful for my preference. I guess it has to do with the local staff.",Place,negative
Best coffee place,Coffee,positive
Wonderful. 5,Service,positive
Always satisfying,Coffee,positive
It was good...  But they messed up my order ASTRONOMICALLY,Service,negative
Always. good coffee,Coffee,positive
"Really like the people that work at this Starbucks. So polite and friendly, enjoy seeing them when I go to Target to pick up my medications and other items I need.",Service,positive
The mocha was watery and lukewarm not the best I’ve had. However the brownie was a plus though they flung it across the counter to me. Good thing I have awesome reflexes,Coffee,negative
The mocha was watery and lukewarm not the best I’ve had. However the brownie was a plus though they flung it across the counter to me. Good thing I have awesome reflexes,Food,positive
The mocha was watery and lukewarm not the best I’ve had. However the brownie was a plus though they flung it across the counter to me. Good thing I have awesome reflexes,Service,negative
"Starbucks is very expensive, but has great drinks! Their pastries are ok. The customer service is always GREAT!!!",Coffee,positive
"Starbucks is very expensive, but has great drinks! Their pastries are ok. The customer service is always GREAT!!!",Food,neutral
"Starbucks is very expensive, but has great drinks! Their pastries are ok. The customer service is always GREAT!!!",Service,positive
Great fun with the barista drinks were made well and the food was good too,Service,positive
Great fun with the barista drinks were made well and the food was good too,Food,positive
Great fun with the barista drinks were made well and the food was good too,Coffee,positive
I love pumpkin spice!,Coffee,positive
Love my coffee .,Coffee,positive
More coffee and stuff made probably from coffee,Coffee,positive
I love their coffee,Coffee,positive
Coffee and food are great as usual!  Staff is super friendly!,Coffee,positive
Coffee and food are great as usual!  Staff is super friendly!,Food,positive
Coffee and food are great as usual!  Staff is super friendly!,Service,positive
# VanillaBeanCarmelFrappes,Coffee,positive
Coffee 24/7 decaf tea & caffeinated beans,Coffee,positive
I absolutely love the staff and My drink is always made perfectly . What more could I ask for,Service,positive
I absolutely love the staff and My drink is always made perfectly . What more could I ask for,Coffee,positive
"Friendly staff, consistent coffee ....",Service,positive
"Friendly staff, consistent coffee ....",Coffee,positive
Delicious,Coffee,positive
It was good and they were sampling one of the new drinks delicious,Coffee,positive
Got my coffee he's not home,Coffee,positive
The best place for coffee and other drinks. Plus the staff is awesome.,Coffee,positive
The best place for coffee and other drinks. Plus the staff is awesome.,Service,positive
Long wait time,Time,negative
Pretty good Starbucks,Place,positive
"Very nice location, friendly barristas",Place,positive
"Very nice location, friendly barristas",Service,positive
Got my fix. Made to order. Friendly service.,Coffee,positive
Got my fix. Made to order. Friendly service.,Service,positive
"This place is amazing. They always have a long line of people waiting in the Drive-Thru and you get scared pulling up. Yet, they move through it pretty quickly and I'm always impressed. Every worker that I've ever engaged was always enthusiastic, helpful, cheerful, and doing everything at lightning speed. When you consider the thousands of personalities of all of the customers they have to deal with, I'm surprised they don't go insane.  We all have to know sometimes there's going to be a mistake, but what do you expect?. The Starbucks products are so wanted by so many people. You can't make everybody happy, but they sure try and I am always impressed. Just about every Starbucks that I have visited (100's) are go, go, go. Specially this location.",Service,positive
"This place is amazing. They always have a long line of people waiting in the Drive-Thru and you get scared pulling up. Yet, they move through it pretty quickly and I'm always impressed. Every worker that I've ever engaged was always enthusiastic, helpful, cheerful, and doing everything at lightning speed. When you consider the thousands of personalities of all of the customers they have to deal with, I'm surprised they don't go insane.  We all have to know sometimes there's going to be a mistake, but what do you expect?. The Starbucks products are so wanted by so many people. You can't make everybody happy, but they sure try and I am always impressed. Just about every Starbucks that I have visited (100's) are go, go, go. Specially this location.",Time,positive
Nice little place to help you focus. I got tons of work done in one afternoon.,Place,positive
Starbucks is Starbucks,Coffee,neutral
"Typical airport Starbucks, only friendlier.",Place,positive
New location love it,Place,positive
Messy,Place,negative
Their customer service here is awful. They don’t care about getting your order right. They don’t listen to what you want and won’t give you the specifications you ask for. You don’t even know who is taking your order because they never have their full uniform. They are extremely rude! They don’t greet you and are very unpleasant as if they are displeased with their job. If you have a issue you might as well just get a refund because when you ask them to remake it they treat you like your a bother and never make it correctly. I’ve even had one of them give me a harsh tone for wanting a refund. They give Starbucks a bad reputation.,Service,negative
This is a Starbucks. Can't find anything negative to say.,,positive
Yeah.. Coffee and cawfee tawk,Coffee,positive
Nice staff most of the time. Slow running in the morning.,Service,neutral
Nice staff most of the time. Slow running in the morning.,Time,negative
"This location has been rude to me at least twice, they are really slow to go clean things in there lobby even when they aren't busy, they havent resupplied there toilet seat covers in at least a week now, there bathrooms rarely get cleaned.

I personally, think I am going to go to the safeway starbucks for now on, or maybe the Starbucks further south down el comino, but I am fed up with this location.

If this was my only experience with starbucks, id have decided to never go to one again.

The only reason this location received two stars is because its at least a Starbucks and ive been a customer for the company for over 10 years now.

I am 10 year Army Vet with an honorable discharge so I have credibility, yes I am peeved but Id never lie to get back or anything like that. Also, my veteran status shows a level of mental fortitude and sanity so I am not just some crazy person.

Update 5/25/2017
Just went to the other starbucks further south down el comino and there powermats still work and they still have charging adapters where as this locations powermats arent even connected anymore (or werent when i was there).",Service,negative
"This location has been rude to me at least twice, they are really slow to go clean things in there lobby even when they aren't busy, they havent resupplied there toilet seat covers in at least a week now, there bathrooms rarely get cleaned.

I personally, think I am going to go to the safeway starbucks for now on, or maybe the Starbucks further south down el comino, but I am fed up with this location.

If this was my only experience with starbucks, id have decided to never go to one again.

The only reason this location received two stars is because its at least a Starbucks and ive been a customer for the company for over 10 years now.

I am 10 year Army Vet with an honorable discharge so I have credibility, yes I am peeved but Id never lie to get back or anything like that. Also, my veteran status shows a level of mental fortitude and sanity so I am not just some crazy person.

Update 5/25/2017
Just went to the other starbucks further south down el comino and there powermats still work and they still have charging adapters where as this locations powermats arent even connected anymore (or werent when i was there).",Place,negative
Yummy,Coffee,positive
Absolutely love Starbucks especially the vanilla bean Frappuccino,Coffee,positive
The smells of Starbucks is always good!,Place,positive
I love Starbucks even though I only get water,Service,positive
"Coffee isn't terrible, but it is pricey!",Coffee,neutral
Very friendly. Easy in and out.,Service,positive
Starbucks is THE BOMB!!!,Coffee,positive
Fast and friendly!,Service,positive
Tha k you antony for fixing my order bud. Clean a enhoyable,Service,positive
Tha k you antony for fixing my order bud. Clean a enhoyable,Place,positive
"Hands down the worst Starbucks, I've ever been to. Dirty cup. Won't even drink it 6 dollar drink",Place,negative
"Hands down the worst Starbucks, I've ever been to. Dirty cup. Won't even drink it 6 dollar drink",Coffee,negative
The price sucks balls,None of the above,negative
"Latte, please!",Coffee,positive
"There's always something wrong, whether your cup is wet on the outside, you don't get a spoon for your oatmeal, you don't get a straw for your drinks, no napkins with food, no cardboard holder on hot drinks, your wrap is unwrapped and in two pieces... this is probably the worst Starbucks I have ever been to.  But the people are nice!",Service,negative
"There's always something wrong, whether your cup is wet on the outside, you don't get a spoon for your oatmeal, you don't get a straw for your drinks, no napkins with food, no cardboard holder on hot drinks, your wrap is unwrapped and in two pieces... this is probably the worst Starbucks I have ever been to.  But the people are nice!",Food,negative
Great selection and friendly staff.,Food,positive
Great selection and friendly staff.,Service,positive
"This Starbucks is my favorite one, by far!! Everybody there is the best!! I live right around the corner from a Starbucks, but I choose to go to this location because of their service and ability to make a perfect ""frap""!!",Service,positive
"This Starbucks is my favorite one, by far!! Everybody there is the best!! I live right around the corner from a Starbucks, but I choose to go to this location because of their service and ability to make a perfect ""frap""!!",Coffee,positive
"Drinks are super bitter, even when I look up ""sweetest hot drinks at Starbucks"" and order it, always bitter. I have never gotten a sweet drink from this one. Also, maybe I am unlucky but even when I get there earlier in the day they never have the ham and swiss sandwich, which is basically the whole reason I go and wait in line for half an hour.",Coffee,negative
"Drinks are super bitter, even when I look up ""sweetest hot drinks at Starbucks"" and order it, always bitter. I have never gotten a sweet drink from this one. Also, maybe I am unlucky but even when I get there earlier in the day they never have the ham and swiss sandwich, which is basically the whole reason I go and wait in line for half an hour.",Food,negative
Mmmmm,Coffee,positive
Over priced and coffee is too bitter,Coffee,negative
Over priced and coffee is too bitter,Place,negative
Busy but great.,Time,positive
The baristas here are always exceptionally nice!,Service,positive
Delicious Quad Latte,Coffee,positive
Great service,Service,positive
Staff are always friendly and accommodating. Great service!,Service,positive
Always amazing everything.... keep up the great work!!,Service,positive
They do a nice job. Easy in n out.,Time,positive
My favorite starbucks on post. Grdat staff. Clean place. Reasonable wait time. And food and drinks are good.,Service,positive
My favorite starbucks on post. Grdat staff. Clean place. Reasonable wait time. And food and drinks are good.,Place,positive
My favorite starbucks on post. Grdat staff. Clean place. Reasonable wait time. And food and drinks are good.,Time,positive
My favorite starbucks on post. Grdat staff. Clean place. Reasonable wait time. And food and drinks are good.,Food,positive
My favorite starbucks on post. Grdat staff. Clean place. Reasonable wait time. And food and drinks are good.,Coffee,positive
The girl who waited on me was very friendly and helpful..,Service,positive
"This location always takes a bit longer than other Starbucks locations and they have messed up my order a few times, the first time I let it slide but they kept making the drink with caffeine when I was asking for it without any, so it takes longer sometimes to have them remake the drink as well. I feel bad about it but when it's wrong it's wrong. Ordering ahead seems to work well unless you get stuck in a line of cars also waiting for their orders ahead of you.",Service,negative
"This location always takes a bit longer than other Starbucks locations and they have messed up my order a few times, the first time I let it slide but they kept making the drink with caffeine when I was asking for it without any, so it takes longer sometimes to have them remake the drink as well. I feel bad about it but when it's wrong it's wrong. Ordering ahead seems to work well unless you get stuck in a line of cars also waiting for their orders ahead of you.",Time,negative
"This location always takes a bit longer than other Starbucks locations and they have messed up my order a few times, the first time I let it slide but they kept making the drink with caffeine when I was asking for it without any, so it takes longer sometimes to have them remake the drink as well. I feel bad about it but when it's wrong it's wrong. Ordering ahead seems to work well unless you get stuck in a line of cars also waiting for their orders ahead of you.",Coffee,negative
Excellent lattes and refreshers,Coffee,positive
Great variety of crafts,Coffee,positive
Slow worth wait,Time,negative
"First, I’d like to say I wish people would review on the staff and the cleanliness of a building and not things they cannot change. (I.e drive through, etc.)
Okay, back to the review.
I am a frequent Starbucks person. I’ve been to so many in the US and in Europe and this has been the best one.
We are in from out of town and I will say the staff has the best personalities. They are very informative, greet when you walk in, and even come from the other side of the counter to help. One lady actually came to make sure my husband liked his drink because it was something new (to us) and don’t know they have unsweet chia tea latte for him. We came 6/19/18 at 9:20am.",Service,positive
Decent,Neutral,neutral
Starbucks never lets me down on my favorite drink tea mango dragon fruit lemonade,Coffee,positive
Great food,Food,positive
Under Phillipina Management! So it rocks.,Service,positive
Does Starbucks exactly how’d you expect. There is another location very close by...Starbucks on every corner I guess is a real possibility lol,Place,neutral
I dont know if my orders are complicated but everytime I come anymore they get my order wrong,Service,negative
This one has allot more room than out would appear and 3 times the electrical outlets,Place,positive
"Very unfriendly and the CAFE doesn't taste like Starbucks Cafe... Giving Bad Reputation to Starbucks. Will never visit this location again even though i live in the area, poor service",Service,negative
